"","i11","i12","i13","i21","i22","i23","Statbank"
"2004",0.44,0.31,0.23,0.47,0.34,0.32,0.25
"2005",0.43,0.31,0.23,0.47,0.34,0.31,0.26
"2006",0.43,0.31,0.23,0.46,0.34,0.31,0.26
"2007",0.44,0.32,0.24,0.49,0.38,0.34,0.27
"2008",0.45,0.33,0.25,0.5,0.39,0.35,0.28
"2009",0.44,0.32,0.23,0.49,0.38,0.34,0.27
"2010",0.44,0.33,0.25,0.49,0.37,0.34,0.27
"2011",0.46,0.34,0.26,0.51,0.39,0.35,0.28
"2012",0.46,0.34,0.26,0.5,0.38,0.34,0.27
"2013",0.46,0.34,0.26,0.51,0.38,0.34,0.28
"2014",0.48,0.35,0.27,0.51,0.39,0.35,0.28
"2015",0.47,0.34,0.27,0.5,0.37,0.35,0.29
"2016",0.48,0.35,0.27,0.51,0.38,0.36,0.29
"2017",0.47,0.34,0.27,0.51,0.38,0.35,0.29
